material_id,es_source_calc_id,formula_pretty,predicted_zT,tSNE_1,tSNE_2,cluster,cluster_sorted,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,cbm,vbm,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson,e_total,e_ionic,e_electronic,n
mp-17217,mp-711738,Tl3GeTe3,0.81379974,40.060852,-11.943385,1,9,28,3,995.5784076960830,7.129263798440530,35.55637170343150,-3.2777258364285700,-3.4585829792857100,-0.4384579828571430,0.0,-0.0255121212662352,0.6230000000000000,4.2329,3.6099,3.57874411,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-558739,mp-711842,RbSb2Au3S5,0.50583136,3.4025543,-2.714421,9,6,88,4,2440.7415871961100,5.8793116895723400,27.73569985450120,-3.992234211590910,-4.220870575227270,-0.6079222218750000,0.0,-0.0235628072727269,0.8295000000000000,3.6422,2.8127,2.82868314,0.0283699,1.16234754833636E-05,0.0035462375,0,0,,,,,,,,,,,,
mp-17786,mp-714661,Ba(SmTe2)2,0.5318549,30.46079,-8.242406,5,8,28,3,1048.678929990820,6.007304051063040,37.45281892824340,-4.972487105357140,-5.213629962500000,-1.7951484220238100,0.0,-0.0129257671428568,0.6875,4.2615,3.574,3.53103032,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-18439,mp-715133,Ba3AlSb3,0.44768214,0.21780396,1.8660067,2,5,28,3,1107.165107317320,4.824849141435630,39.541610975618400,-4.040603694642860,-4.122889408928570,-0.9958173560714290,0.0,-0.0355329046865922,0.4806000000000000,3.6951,3.2145,3.22955185,2E-07,1.806415309498E-10,5E-08,0,0,,,,,,,,,,,,
mp-568761,mp-715844,AgTe,0.6411017,39.88958,-12.715441,1,9,32,2,859.737489564989,7.276716900919560,26.866796548905900,-3.033827834375,-3.2448278343750000,-0.256896886041666,0.0,-0.0090132343749993,0.2056000000000000,4.5595,4.3539,4.36422169,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-17872,mp-716521,Ba(YTe2)2,0.4702343,29.234907,-8.572756,5,8,28,3,1010.3383372861500,5.427248325634620,36.083512045933800,-5.4766745467857100,-5.717817403928570,-1.7999401553571400,0.0,-0.0232405985714274,0.7112000000000000,4.5351,3.8239,3.75724104,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-17153,mp-716542,Ba(TbTe2)2,0.5741662,31.976034,-9.406209,1,9,28,3,1015.4809446590900,6.315744283024660,36.26717659496740,-4.941223265714290,-5.182366122857140,-1.7879474495238100,0.0,-0.022290132857142,0.9713000000000000,4.6583,3.687,3.7173141,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-17273,mp-724954,Ba(HoTe2)2,0.64742565,36.406788,-12.1618185,1,9,28,3,997.6828454125780,6.508370770167920,35.63153019330640,-4.913652577500000,-5.154795434642860,-1.775221684166670,0.0,-0.0238929896428556,0.7850000000000000,4.5126,3.7276,3.75190239,0.0,0.0,0.0,0,0,,,,,,,,,,,,
mp-672338,mp-741001,Cs(Bi2Te3)2,0.6464258,39.448814,-11.460603,1,9,44,3,1683.9834903083700,6.8411214110428700,38.27235205246290,-3.5762850902272700,-3.806466908409090,-0.6139947036755480,0.0,-0.0320578013636358,0.4072000000000000,4.8212,4.414,4.42668795,0.0002697,1.60155964445123E-07,6.7425E-05,0,0,,,,,,,,,,,,
mp-38117,mp-741309,Ba(GaTe2)2,0.7566408,4.8159943,29.257547,3,10,7,3,252.6302597076340,5.1740892804585200,36.09003710109060,-3.72017364,-3.961316497142860,-1.0258321316666700,0.0,-0.0425191535714239,0.5291000000000000,3.2271,2.698,2.75982205,0.0,0.0,0.0,0,0,,,,,,,,,13.477721629992600,4.753862870086300,8.723858759906340,2.9536179102765400
